Vivado Simulator 2020.2
Time resolution is 1 ps
IF: 0000, DE: xxxxxxxx ()	 EX: xxxxxxxx ()	 MEM: xxxxxxxx ()	 WB: xxxxxxxx ()
IF: 0004, DE: 0000 (AUIPC)	 EX: xxxxxxxx ()	 MEM: xxxxxxxx ()	 WB: xxxxxxxx ()
IF: 0008, DE: 0004 (OP_IMM)	 EX: 0000 (AUIPC)	 MEM: xxxxxxxx ()	 WB: xxxxxxxx ()
IF: 000c, DE: 0008 (AUIPC)	 EX: 0004 (OP_IMM)	 MEM: 0000 (AUIPC)	 WB: xxxxxxxx ()
IF: 0010, DE: 000c (JALR)	 EX: 0008 (AUIPC)	 MEM: 0004 (OP_IMM)	 WB: 0000 (AUIPC)
IF: 0014, DE: 0010 (JAL)	 EX: 000c (JALR)	 MEM: 0008 (AUIPC)	 WB: 0004 (OP_IMM)
IF: 0018, DE: 0014 ()	 EX: 0010 (JAL)	 MEM: 000c (JALR)	 WB: 0008 (AUIPC)
IF: 001c, DE: 0018 (LUI)	 EX: 0014 ()	 MEM: 0010 (JAL)	 WB: 000c (JALR)
IF: 0020, DE: 001c (LUI)	 EX: 0018 (LUI)	 MEM: 0014 ()	 WB: 0010 (JAL)
IF: 0024, DE: 0020 (LUI)	 EX: 001c (LUI)	 MEM: 0018 (LUI)	 WB: 0014 ()
IF: 0028, DE: 0024 (LUI)	 EX: 0020 (LUI)	 MEM: 001c (LUI)	 WB: 0018 (LUI)
IF: 002c, DE: 0028 (OP_IMM)	 EX: 0024 (LUI)	 MEM: 0020 (LUI)	 WB: 001c (LUI)
IF: 0030, DE: 002c (OP_IMM)	 EX: 0028 (OP_IMM)	 MEM: 0024 (LUI)	 WB: 0020 (LUI)
IF: 0034, DE: 0030 (AUIPC)	 EX: 002c (OP_IMM)	 MEM: 0028 (OP_IMM)	 WB: 0024 (LUI)
IF: 0038, DE: 0034 (JALR)	 EX: 0030 (AUIPC)	 MEM: 002c (OP_IMM)	 WB: 0028 (OP_IMM)
IF: 003c, DE: 0038 (JAL)	 EX: 0034 (JALR)	 MEM: 0030 (AUIPC)	 WB: 002c (OP_IMM)
